Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA
4,6:04,1,10,IND 48,20,3,Joshua Kelley right end for 5 yards (tackle by Bobby Okereke and Zaire Franklin),2.39,2.52
4,5:20,2,5,IND 43,20,3,Joshua Kelley left tackle for no gain (tackle by Brandon Facyson),2.52,1.82
4,5:13,,,,,,Timeout #1 by Indianapolis Colts,,
4,5:13,3,5,IND 43,20,3,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Bobby Okereke),1.82,0.46
4,5:07,,,,,,Timeout #2 by Indianapolis Colts,,
4,5:07,4,4,IND 42,20,3,"JK Scott punts 42 yards, touchback.",0.46,-0.28
4,4:59,1,10,IND 20,20,3,Nick Foles pass complete short middle to Deon Jackson for 6 yards (tackle by Derrek Tuszka and Bryce Callahan),0.28,0.54
4,4:34,2,4,IND 26,20,3,Nick Foles pass complete deep left to Michael Pittman for 19 yards (tackle by Drue Tranquill),0.54,1.93
4,4:05,1,10,IND 45,20,3,Nick Foles sacked by Morgan Fox for -3 yards,1.93,0.98
4,3:21,2,13,IND 42,20,3,Nick Foles sacked by Chris Rumph for -8 yards,0.98,-0.76
4,2:42,3,21,IND 34,20,3,Nick Foles pass complete short right to Deon Jackson for 12 yards (tackle by Drue Tranquill and Kenneth Murray),-0.76,-0.32
4,2:00,4,9,IND 46,20,3,Nick Foles pass complete short left to Michael Pittman for 6 yards (tackle by Bryce Callahan and Drue Tranquill),-0.32,-2.13
4,1:55,1,10,LAC 48,20,3,Justin Herbert kneels for -1 yards,2.13,1.45
4,1:15,2,11,LAC 47,20,3,Justin Herbert kneels for -1 yards,1.45,0.63
4,0:36,3,12,LAC 46,20,3,Justin Herbert kneels for -1 yards,0.63,-0.39
